PermitTitle,Description,Pollutant,Date,Month,Year,GTLT,Value,Unit,ML,MDL,RDL,CTR,Comment
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,6/30/2002,6,2002, ,11.72,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,7/31/2002,7,2002, ,11.35,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,8/31/2002,8,2002, ,11.34,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,9/30/2002,9,2002, ,11.27,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,10/31/2002,10,2002, ,11.15,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,11/30/2002,11,2002, ,12.48,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,12/31/2002,12,2002, ,19.57,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,1/31/2003,1,2003, ,13.78,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,2/28/2003,2,2003, ,13.69,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,3/31/2003,3,2003, ,13.09,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,4/30/2003,4,2003, ,14.51,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,5/31/2003,5,2003, ,13.37,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,6/30/2003,6,2003, ,12.16,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,7/31/2003,7,2003, ,11.85,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,8/31/2003,8,2003, ,11.47,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,9/30/2003,9,2003, ,11.33,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,10/31/2003,10,2003, ,11.05,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,11/30/2003,11,2003, ,11.71,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,12/31/2003,12,2003, ,15.39,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,2/29/2004,2,2004, ,16.46,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,3/31/2004,3,2004, ,12.86,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,4/30/2004,4,2004, ,11.87,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,5/31/2004,5,2004, ,11.71,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,6/30/2004,6,2004, ,11.19,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,7/31/2004,7,2004, ,11.22,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,8/31/2004,8,2004, ,11.14,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,9/30/2004,9,2004, ,10.84,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,10/31/2004,10,2004, ,12.29,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,11/30/2004,11,2004, ,11.6,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,12/31/2004,12,2004, ,14.77,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,1/31/2005,1,2005, ,17.19,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,2/28/2005,2,2005, ,16.49,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,3/31/2005,3,2005, ,16.46,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,4/30/2005,4,2005, ,13.59,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,5/31/2005,5,2005, ,12.86,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,6/30/2005,6,2005, ,11.78,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,7/31/2005,7,2005, ,11.49,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,8/31/2005,8,2005, ,11.39,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,9/30/2005,9,2005, ,11.26,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,10/31/2005,10,2005, ,11.22,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,11/30/2005,11,2005, ,11.36,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,12/31/2005,12,2005, ,16.19,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,1/31/2006,1,2006, ,16.36,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,2/28/2006,2,2006, ,12.96,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,3/31/2006,3,2006, ,19.21,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,4/30/2006,4,2006, ,17.49,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,5/31/2006,5,2006, ,12.77,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,6/30/2006,6,2006, ,12.34,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,7/31/2006,7,2006, ,11.93,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,8/31/2006,8,2006, ,11.49,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,9/30/2006,9,2006, ,11.38,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,10/31/2006,10,2006, ,11.54,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,11/30/2006,11,2006, ,11.84,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,12/31/2006,12,2006, ,12.89,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,1/31/2007,1,2007, ,11.59,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,2/28/2007,2,2007, ,15.25,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,3/31/2007,3,2007, ,12.67,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,4/30/2007,4,2007, ,12.33,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,5/31/2007,5,2007, ,11.99,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,6/30/2007,6,2007, ,11.67,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,7/31/2007,7,2007, ,11.45,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,8/31/2007,8,2007, ,11.41,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,9/30/2007,9,2007, ,11.27,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,10/31/2007,10,2007, ,11.88,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,11/30/2007,11,2007, ,11.29,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,12/31/2007,12,2007, ,12.38,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,1/31/2008,1,2008, ,18.11,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,2/29/2008,2,2008, ,15.76,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,3/31/2008,3,2008, ,12.31,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,4/30/2008,4,2008, ,11.72,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,5/31/2008,5,2008, ,11.52,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,6/30/2008,6,2008, ,11.3,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,7/31/2008,7,2008, ,11.06,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,8/31/2008,8,2008, ,11.34,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,9/30/2008,9,2008, ,11.85,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,10/31/2008,10,2008, ,11.78,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,11/30/2008,11,2008, ,12.89,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,12/31/2008,12,2008, ,13.04,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,Flow,1/31/2009,1,2009, ,12.38,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,2/28/2009,2,2009, ,17.17,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,3/31/2009,3,2009, ,14.71,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,4/30/2009,4,2009, ,12.21,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,5/31/2009,5,2009, ,12.54,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,6/30/2009,6,2009, ,12.18,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,7/31/2009,7,2009, ,11.05,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,8/31/2009,8,2009, ,10.99,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,9/30/2009,9,2009, ,10.86,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,10/31/2009,10,2009, ,9.45,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,11/30/2009,11,2009, ,10.91,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,12/31/2009,12,2009, ,12.93,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,1/31/2010,1,2010, ,16.92,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,2/28/2010,2,2010, ,14,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,3/31/2010,3,2010, ,14.26,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,4/30/2010,4,2010, ,14.34,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,5/31/2010,5,2010, ,12.45,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,6/30/2010,6,2010, ,11.89,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,7/31/2010,7,2010, ,11.55,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,8/31/2010,8,2010, ,11.49,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,9/30/2010,9,2010, ,11.46,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,10/31/2010,10,2010, ,11.23,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,11/30/2010,11,2010, ,11.57,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,12/31/2010,12,2010, ,16.02,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,1/31/2011,1,2011, ,12.4,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,2/28/2011,2,2011, ,15.03,mgd,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,Flow,3/31/2011,3,2011, ,17.96,mgd,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,3/31/2008,3,2008, ,24.73,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,4/30/2008,4,2008, ,16.63,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,5/31/2008,5,2008, ,18.8,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,6/30/2008,6,2008, ,19.25,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,7/31/2008,7,2008, ,23.25,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,8/31/2008,8,2008, ,21.25,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,9/30/2008,9,2008, ,15.75,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,11/30/2008,11,2008, ,10.18,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,12/31/2008,12,2008, ,13.68,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,1/31/2009,1,2009, ,14.13,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,2/28/2009,2,2009, ,11.47,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,3/31/2009,3,2009, ,11.76,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,4/30/2009,4,2009, ,15.38,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,5/31/2009,5,2009, ,21.75,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,6/30/2009,6,2009, ,22.37,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,7/31/2009,7,2009, ,22,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,8/31/2009,8,2009, ,24.5,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,9/30/2009,9,2009, ,23.25,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,10/31/2009,10,2009, ,13.25,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,11/30/2009,11,2009, ,8.4,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,12/31/2009,12,2009, ,17.75,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,1/31/2010,1,2010, ,10.8,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,2/28/2010,2,2010, ,23.05,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,3/31/2010,3,2010, ,21.45,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,4/30/2010,4,2010, ,20.32,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,5/31/2010,5,2010, ,27.46,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,6/30/2010,6,2010, ,25.54,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,7/31/2010,7,2010, ,26.23,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,8/31/2010,8,2010, ,25.1,mg/l,,,,,
San Mateo City,E-001 (Dry) Eff Monthly Average,NH3,9/30/2010,9,2010, ,18.83,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,10/31/2010,10,2010, ,22.95,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,11/30/2010,11,2010, ,23.9,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,12/31/2010,12,2010, ,7.33,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,1/31/2011,1,2011, ,14.95,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,2/28/2011,2,2011, ,25,mg/l,,,,,
San Mateo City,E-001 (Wet) Eff Monthly Average,NH3,3/31/2011,3,2011, ,11.8,mg/l,,,,,
